typeID,name,unit,description,methodID,siteID
Ca-w,calcium,mg/L,Ca concentration in a water sample,lab,OK001/OT001/OT002/OT010/OT011/OT012/OT013/OT014/OT015/OT016/OT017/OT018/OT019/OT021/OT022/OT023/RL001/RL002/RL003/RL004/RL005/RP001/RP002/RR001/RR002/RR003/RR004/RR005/RR1021/RR1076/RR12183/RR887/RR913/RU001/RU003/RU004/RU020/TO050/TO051/TO052/TO053/TO054/TO055/TO056/TO057/TO060/TO061/TO062/TO063/TP041/TP042/TP043/TP044/TP045/WI201/WI220/WI220-1/WI220-2/WI220-3/WI221/WI221-1/WI221-2/WI221-3/WI222/WI223/WI224/WI225-1/WI225-2/WI226/WI226-2/WI227/WI228
SiO2-w,silicon dioxide,mg/L,SiO2 concentration in a water sample,lab,OK001/OT001/OT002/OT010/OT011/OT012/OT013/OT014/OT015/OT016/OT017/OT018/OT019/OT021/OT022/OT023/RL001/RL002/RL003/RL004/RL005/RP001/RP002/RR001/RR002/RR003/RR004/RR005/RR1021/RR1076/RR12183/RR887/RR913/RU001/RU003/RU004/RU020/TO050/TO051/TO052/TO053/TO054/TO055/TO056/TO057/TO060/TO061/TO062/TO063/TP041/TP042/TP043/TP044/TP045/WI201/WI220/WI220-1/WI220-2/WI220-3/WI221/WI221-1/WI221-2/WI221-3/WI222/WI223/WI224/WI225-1/WI225-2/WI226/WI226-2/WI227/WI228
H2S-w,hydrogen sulphide,mg/L,H2S concentration in a water sample,lab,OK001/OT001/OT002/OT010/OT011/OT012/OT013/OT014/OT015/OT016/OT017/OT018/OT021/OT022/OT023/RP001/RP002/RR001/RR002/RR003/RR004/RR005/RR1021/RR1076/RR12183/RR887/RR913/RU001/RU003/RU004/RU020/TO050/TO051/TO052/TO053/TO054/TO055/TO056/TO057/TO060/TO061/TO062/TO063/TP041/TP042/TP043/TP044/TP045/WI201/WI220/WI220-1/WI220-2/WI221/WI221-1/WI221-2/WI221-3/WI222/WI223/WI224/WI225-1/WI225-2/WI226/WI226-2/WI227/WI228
Fe-w,iron,mg/L,Fe concentration in a water sample,lab,OK001/OT001/OT002/OT010/OT011/OT013/OT014/OT015/OT016/OT017/OT018/OT019/OT021/OT022/OT023/RL001/RL002/RL003/RL004/RL005/RP001/RP002/RR001/RR002/RR003/RR004/RR005/RR1021/RR1076/RR12183/RR887/RR913/RU001/RU003/RU004/RU020/TO050/TO051/TO052/TO053/TO054/TO055/TO056/TO057/TO060/TO061/TO062/TO063/TP041/TP042/TP043/TP044/TP045/WI201/WI220/WI220-1/WI220-2/WI220-3/WI221/WI221-1/WI221-2/WI221-3/WI222/WI223/WI224/WI225-1/WI225-2/WI226/WI226-2/WI227/WI228
Al-w,aluminium,mg/L,Al concentration in a water sample,lab,OK001/OT001/OT002/OT010/OT011/OT013/OT014/OT015/OT016/OT017/OT018/OT019/OT021/OT022/OT023/RL001/RL002/RL003/RL004/RL005/RP001/RP002/RR001/RR002/RR003/RR004/RR005/RR1021/RR1076/RR12183/RR887/RR913/RU001/RU003/RU004/RU020/TO050/TO051/TO052/TO053/TO054/TO055/TO056/TO057/TO060/TO061/TO062/TO063/TP041/TP042/TP043/TP044/TP045/WI201/WI220/WI220-1/WI220-2/WI220-3/WI221/WI221-1/WI221-2/WI221-3/WI222/WI223/WI224/WI225-1/WI225-2/WI226/WI226-2/WI227/WI228
As-w,arsenic,mg/L,As concentration in a water sample,lab,OK001/OT001/OT002/OT010/OT011/OT013/OT014/OT015/OT016/OT017/OT018/OT019/OT021/OT022/OT023/RL001/RL002/RL003/RL004/RL005/RP001/RP002/RR001/RR002/RR003/RR004/RR005/RR1021/RR1076/RR12183/RR887/RR913/RU001/RU003/RU004/RU020/TO050/TO051/TO052/TO053/TO054/TO055/TO056/TO057/TO060/TO061/TO062/TO063/TP041/TP042/TP043/TP044/TP045/WI201/WI220/WI220-1/WI220-2/WI220-3/WI221/WI221-1/WI221-2/WI221-3/WI222/WI223/WI224/WI225-1/WI225-2/WI226/WI226-2/WI227/WI228
Rb-w,rubidium,mg/L,Rb concentration in a water sample,lab,RL001/RL002/RL003/RL004/RL005/RU001/RU004/TO050/TO051/TO052/TO053/TO054/TO055/TO060/TO061/TO062/TO063
Cs-w,caesium,mg/L,Cs concentration in a water sample,lab,RL001/RL002/RL003/RL004/RL005/RU001/RU004/TO050/TO051/TO052/TO053/TO054/TO055/TO060/TO061/TO062/TO063
NH3-w,ammonia,mg/L,NH3 concentration in a water sample,lab,OK001/OT001/OT002/OT010/OT011/OT013/OT014/OT015/OT016/OT017/OT018/OT021/OT022/OT023/RL001/RL002/RL003/RL004/RL005/RP001/RP002/RR001/RR002/RR003/RR004/RR005/RR1021/RR1076/RR12183/RR887/RR913/RU001/RU003/RU004/RU020/TO050/TO051/TO052/TO053/TO054/TO055/TO056/TO057/TO060/TO061/TO062/TO063/TP041/TP042/TP043/TP044/TP045/WI201/WI220/WI220-1/WI220-2/WI220-3/WI221/WI221-1/WI221-2/WI221-3/WI222/WI223/WI224/WI225-1/WI225-2/WI226/WI226-1/WI226-2/WI227/WI228
B-w,boron,mg/L,B concentration in a water sample,lab,OK001/OT001/OT002/OT010/OT011/OT012/OT013/OT014/OT015/OT016/OT017/OT018/OT019/OT021/OT022/OT023/RL001/RL002/RL003/RL004/RL005/RP001/RP002/RR001/RR002/RR003/RR004/RR005/RR1021/RR1076/RR12183/RR887/RR913/RU001/RU003/RU004/RU020/TO050/TO051/TO052/TO053/TO054/TO055/TO056/TO057/TO060/TO061/TO062/TO063/TP041/TP042/TP043/TP044/TP045/WI201/WI220/WI220-1/WI220-2/WI220-3/WI221/WI221-1/WI221-2/WI221-3/WI222/WI223/WI224/WI225-1/WI225-2/WI226/WI226-2/WI227/WI228
